col1,col2,col3,col4,col5,col6,sens_col
40.0,62.0,64.0,47.0,40.0,83.0,B
36.0,61.0,69.0,49.0,38.0,86.0,A
49.0,58.0,64.0,44.0,51.0,87.0,B
37.0,65.0,60.0,53.0,41.0,89.0,B
38.0,64.0,71.0,44.0,40.0,88.0,B
43.0,53.0,77.0,40.0,47.0,98.0,A
36.0,64.0,68.0,49.0,52.0,89.0,B
37.0,59.0,81.0,53.0,44.0,95.0,B
34.0,66.0,72.0,51.0,46.0,91.0,A
40.0,66.0,72.0,46.0,37.0,86.0,A
40.0,60.0,70.0,46.0,44.0,87.0,A
33.0,61.0,67.0,56.0,44.0,92.0,B
48.0,70.0,75.0,43.0,44.0,103.0,B
42.0,62.0,63.0,48.0,43.0,81.0,A
36.0,59.0,70.0,51.0,42.0,84.0,B
35.0,53.0,61.0,55.0,57.0,94.0,B
42.0,63.0,77.0,50.0,45.0,105.0,A
44.0,64.0,63.0,57.0,38.0,80.0,B
36.0,58.0,71.0,51.0,40.0,87.0,A
37.0,60.0,68.0,44.0,48.0,102.0,A
33.0,66.0,74.0,48.0,36.0,88.0,B
40.0,54.0,63.0,52.0,41.0,92.0,B
37.0,60.0,59.0,45.0,43.0,89.0,A
34.0,63.0,68.0,60.0,45.0,96.0,A
40.0,67.0,66.0,51.0,44.0,103.0,B
38.0,65.0,61.0,53.0,45.0,90.0,B
42.0,61.0,75.0,53.0,55.0,90.0,B
42.0,58.0,78.0,51.0,52.0,84.0,B
41.0,56.0,73.0,56.0,43.0,91.0,B
30.0,61.0,66.0,45.0,44.0,91.0,B
24.0,59.0,59.0,57.0,48.0,87.0,A
44.0,53.0,69.0,51.0,43.0,94.0,A
44.0,55.0,65.0,51.0,40.0,84.0,B
31.0,54.0,70.0,47.0,45.0,92.0,A
39.0,63.0,76.0,48.0,46.0,83.0,A
40.0,64.0,74.0,58.0,49.0,77.0,A
33.0,54.0,61.0,45.0,46.0,84.0,B
46.0,62.0,76.0,41.0,51.0,91.0,B
38.0,62.0,70.0,57.0,54.0,88.0,B
36.0,55.0,66.0,54.0,55.0,95.0,A
42.0,63.0,70.0,54.0,41.0,84.0,A
38.0,68.0,75.0,44.0,51.0,84.0,A
47.0,60.0,72.0,42.0,51.0,79.0,A
38.0,56.0,68.0,58.0,48.0,96.0,B
35.0,58.0,72.0,50.0,53.0,98.0,B
49.0,52.0,71.0,49.0,49.0,91.0,B
39.0,66.0,70.0,55.0,42.0,92.0,A
36.0,49.0,59.0,57.0,48.0,93.0,B
44.0,52.0,76.0,53.0,41.0,96.0,B
38.0,64.0,75.0,51.0,39.0,88.0,A
39.0,60.0,69.0,52.0,45.0,91.0,B
43.0,59.0,83.0,46.0,38.0,91.0,A
37.0,58.0,66.0,47.0,50.0,83.0,A
38.0,52.0,65.0,51.0,41.0,95.0,B
45.0,65.0,80.0,54.0,49.0,74.0,B
41.0,60.0,77.0,47.0,41.0,88.0,A
38.0,59.0,70.0,46.0,41.0,91.0,B
37.0,57.0,74.0,45.0,44.0,89.0,B
50.0,55.0,65.0,49.0,41.0,83.0,A
47.0,65.0,67.0,48.0,49.0,83.0,A
39.0,68.0,73.0,50.0,50.0,91.0,B
31.0,52.0,71.0,48.0,45.0,94.0,B
39.0,60.0,71.0,50.0,52.0,85.0,A
34.0,54.0,63.0,43.0,40.0,89.0,B
39.0,61.0,71.0,49.0,50.0,80.0,A
42.0,58.0,75.0,57.0,43.0,89.0,B
40.0,51.0,77.0,48.0,51.0,101.0,A
46.0,56.0,74.0,54.0,53.0,86.0,A
41.0,67.0,76.0,54.0,42.0,94.0,B
28.0,69.0,69.0,39.0,46.0,88.0,A
35.0,50.0,71.0,50.0,42.0,95.0,B
28.0,64.0,75.0,56.0,48.0,84.0,A
43.0,58.0,77.0,54.0,44.0,102.0,B
34.0,62.0,77.0,57.0,47.0,89.0,A
46.0,62.0,67.0,43.0,42.0,86.0,A
46.0,71.0,75.0,46.0,49.0,77.0,A
51.0,60.0,71.0,53.0,42.0,90.0,A
43.0,61.0,71.0,48.0,51.0,93.0,B
44.0,63.0,68.0,53.0,44.0,84.0,B
37.0,65.0,63.0,49.0,41.0,88.0,B
41.0,63.0,67.0,58.0,40.0,83.0,B
40.0,55.0,75.0,37.0,46.0,82.0,A
40.0,62.0,73.0,49.0,42.0,98.0,B
41.0,64.0,75.0,49.0,36.0,81.0,A
39.0,56.0,70.0,49.0,44.0,88.0,A
45.0,60.0,77.0,46.0,48.0,88.0,A
45.0,60.0,73.0,49.0,48.0,90.0,A
39.0,74.0,66.0,54.0,49.0,83.0,A
37.0,56.0,71.0,54.0,47.0,92.0,A
41.0,61.0,74.0,54.0,50.0,89.0,A
38.0,61.0,65.0,52.0,42.0,99.0,B
44.0,55.0,68.0,54.0,47.0,98.0,A
39.0,62.0,74.0,53.0,46.0,89.0,B
39.0,65.0,69.0,50.0,39.0,95.0,A
47.0,58.0,67.0,50.0,37.0,97.0,B
41.0,49.0,70.0,53.0,45.0,95.0,B
37.0,65.0,75.0,46.0,38.0,100.0,B
31.0,63.0,71.0,48.0,42.0,94.0,A
44.0,56.0,70.0,44.0,42.0,96.0,B
38.0,60.0,62.0,38.0,41.0,90.0,A
56.0,48.0,69.0,48.0,52.0,87.0,B
42.0,71.0,73.0,56.0,45.0,91.0,B
36.0,64.0,72.0,45.0,40.0,103.0,B
41.0,64.0,81.0,52.0,46.0,89.0,A
45.0,55.0,73.0,49.0,45.0,83.0,B
41.0,66.0,72.0,49.0,33.0,89.0,A
42.0,59.0,67.0,52.0,39.0,80.0,B
39.0,51.0,73.0,52.0,45.0,91.0,A
39.0,60.0,74.0,46.0,38.0,91.0,A
36.0,58.0,67.0,55.0,44.0,87.0,B
46.0,56.0,66.0,44.0,42.0,93.0,A
38.0,70.0,68.0,53.0,44.0,88.0,B
42.0,61.0,67.0,50.0,44.0,93.0,B
44.0,61.0,70.0,38.0,41.0,93.0,A
41.0,62.0,75.0,55.0,48.0,96.0,B
38.0,63.0,70.0,55.0,46.0,80.0,A
43.0,60.0,70.0,56.0,50.0,91.0,A
40.0,62.0,75.0,46.0,50.0,86.0,B
38.0,61.0,64.0,55.0,47.0,86.0,A
32.0,63.0,77.0,45.0,45.0,93.0,B
46.0,60.0,66.0,48.0,49.0,87.0,A
35.0,65.0,68.0,48.0,37.0,91.0,B
40.0,65.0,65.0,52.0,47.0,92.0,B
36.0,56.0,71.0,49.0,42.0,84.0,A
39.0,57.0,56.0,47.0,49.0,86.0,A
32.0,63.0,69.0,39.0,39.0,92.0,A
29.0,53.0,70.0,46.0,35.0,93.0,A
38.0,65.0,71.0,55.0,42.0,94.0,B
45.0,58.0,63.0,48.0,55.0,77.0,A
34.0,70.0,77.0,49.0,41.0,86.0,A
41.0,58.0,76.0,50.0,41.0,95.0,A
32.0,58.0,70.0,53.0,42.0,91.0,A
38.0,61.0,71.0,51.0,56.0,87.0,B
44.0,54.0,74.0,51.0,42.0,92.0,B
45.0,55.0,72.0,56.0,37.0,100.0,B
37.0,59.0,61.0,50.0,50.0,92.0,A
46.0,56.0,61.0,55.0,53.0,84.0,B
51.0,48.0,70.0,41.0,47.0,93.0,A
28.0,55.0,66.0,48.0,49.0,87.0,A
38.0,69.0,68.0,39.0,37.0,89.0,B
42.0,54.0,65.0,61.0,46.0,84.0,A
38.0,57.0,67.0,50.0,53.0,87.0,A
33.0,60.0,69.0,56.0,43.0,84.0,B
46.0,51.0,65.0,59.0,49.0,101.0,A
47.0,52.0,75.0,50.0,41.0,96.0,B
37.0,54.0,63.0,52.0,42.0,97.0,A
42.0,59.0,67.0,58.0,44.0,81.0,A
55.0,54.0,75.0,50.0,43.0,88.0,A
35.0,60.0,66.0,52.0,47.0,89.0,A
44.0,60.0,78.0,58.0,45.0,89.0,A
37.0,62.0,76.0,59.0,49.0,92.0,B
49.0,60.0,74.0,48.0,40.0,87.0,B
34.0,52.0,76.0,55.0,41.0,91.0,B
40.0,52.0,77.0,46.0,48.0,91.0,B
33.0,55.0,70.0,43.0,39.0,97.0,A
33.0,67.0,70.0,48.0,43.0,92.0,A
40.0,64.0,60.0,52.0,39.0,93.0,A
40.0,54.0,65.0,49.0,53.0,90.0,B
37.0,57.0,74.0,58.0,39.0,88.0,B
42.0,64.0,79.0,51.0,43.0,84.0,A
42.0,63.0,68.0,51.0,55.0,85.0,A
36.0,65.0,66.0,53.0,44.0,92.0,B
33.0,64.0,75.0,53.0,48.0,87.0,A
45.0,57.0,70.0,52.0,44.0,102.0,B
42.0,66.0,69.0,52.0,53.0,87.0,A
38.0,59.0,69.0,52.0,45.0,92.0,A
37.0,59.0,64.0,47.0,50.0,87.0,A
38.0,64.0,73.0,44.0,51.0,90.0,B
45.0,54.0,74.0,52.0,47.0,96.0,B
39.0,64.0,73.0,54.0,59.0,81.0,B
41.0,60.0,70.0,44.0,45.0,94.0,B
41.0,62.0,69.0,55.0,45.0,96.0,B
44.0,63.0,62.0,58.0,47.0,85.0,B
36.0,57.0,73.0,50.0,49.0,91.0,A
44.0,60.0,83.0,57.0,43.0,87.0,B
41.0,58.0,75.0,40.0,44.0,94.0,B
42.0,60.0,74.0,50.0,53.0,99.0,B
42.0,70.0,64.0,56.0,45.0,91.0,A
39.0,54.0,61.0,57.0,47.0,95.0,A
35.0,62.0,76.0,52.0,50.0,100.0,A
35.0,60.0,67.0,53.0,41.0,98.0,B
41.0,61.0,66.0,44.0,45.0,95.0,B
41.0,63.0,69.0,51.0,47.0,85.0,A
36.0,60.0,63.0,45.0,46.0,91.0,A
38.0,66.0,70.0,49.0,49.0,85.0,B
44.0,59.0,58.0,56.0,49.0,89.0,B
41.0,63.0,69.0,51.0,50.0,95.0,A
42.0,61.0,71.0,54.0,48.0,98.0,B
45.0,64.0,69.0,50.0,48.0,88.0,B
38.0,53.0,68.0,50.0,48.0,91.0,B
33.0,68.0,77.0,56.0,42.0,92.0,B
43.0,55.0,72.0,50.0,53.0,92.0,B
44.0,61.0,65.0,51.0,45.0,99.0,B
37.0,59.0,64.0,44.0,55.0,90.0,B
48.0,59.0,76.0,55.0,45.0,92.0,A
40.0,55.0,64.0,46.0,51.0,86.0,B
41.0,60.0,80.0,51.0,42.0,88.0,B
44.0,53.0,66.0,53.0,39.0,90.0,A
41.0,61.0,61.0,57.0,44.0,84.0,B
42.0,64.0,66.0,52.0,37.0,89.0,B
36.0,59.0,67.0,50.0,49.0,94.0,B
41.0,54.0,74.0,41.0,55.0,90.0,B
36.0,59.0,71.0,47.0,43.0,95.0,B
47.0,56.0,71.0,53.0,47.0,90.0,A
43.0,56.0,74.0,49.0,43.0,91.0,A
40.0,54.0,70.0,36.0,47.0,95.0,B
44.0,67.0,69.0,55.0,41.0,89.0,A
40.0,55.0,70.0,47.0,50.0,86.0,A
47.0,61.0,75.0,51.0,41.0,92.0,B
39.0,61.0,68.0,49.0,44.0,90.0,B
44.0,61.0,71.0,56.0,49.0,89.0,A
40.0,61.0,79.0,45.0,49.0,84.0,A
